open;high;low;close;volume;marketCap;timestamp
29214.4489803424;29239.5315812292;29099.3522511329;29134.1967600686;12811332829.32;566389907308.39;"2023-07-27T18:00:00.000Z"
29132.3316652736;29167.3129843244;29101.8467467034;29159.4349625532;12448840569.1;566880556262.39;"2023-07-27T19:00:00.000Z"
29155.4300525357;29175.6705812502;29127.4404403577;29137.9712196104;11593171746.27;566465092092.58;"2023-07-27T20:00:00.000Z"
29137.2831556154;29219.8085148056;29132.1485010927;29192.8000579253;11230086163.61;567531007859.72;"2023-07-27T21:00:00.000Z"
29188.4631289218;29232.0798635019;29188.4631289218;29195.804553047;11086627775.44;567591986840.22;"2023-07-27T22:00:00.000Z"
29193.0356789413;29217.9730464503;29174.716127292;29210.6892773374;10770779216.98;567881358904.56;"2023-07-27T23:00:00.000Z"
29212.1643024276;29282.0582536761;29208.069339756;29273.5152773658;10808847126.92;569104566275.81;"2023-07-28T00:00:00.000Z"
29267.3249899921;29289.8447926863;29260.3524755457;29266.2536904165;10756855485.91;568963394221.41;"2023-07-28T01:00:00.000Z"
29258.2024538259;29264.7543089696;29191.4717441376;29220.1816389094;10804722635.9;568068440875.14;"2023-07-28T02:00:00.000Z"
29223.3701228016;29276.6774786597;29205.8207107669;29246.0355251248;10937000574.44;568571065294.61;"2023-07-28T03:00:00.000Z"
29244.6322507615;29256.7454697347;29218.0041002929;29251.121613915;10981787111.81;568671962080.9;"2023-07-28T04:00:00.000Z"
29250.4046408863;29251.0205075522;29157.9417169663;29170.2975765643;10944775140.97;567100659465.22;"2023-07-28T05:00:00.000Z"
29176.788233511;29200.381806839;29159.6329812319;29187.021410909;10975438951.85;567428531627.16;"2023-07-28T06:00:00.000Z"
29180.5714900352;29188.1103338755;29127.1610850218;29134.6888928474;11016397880.56;566411128601.96;"2023-07-28T07:00:00.000Z"
29128.7912095388;29176.5893218294;29125.8455921496;29148.3588484343;11124274493.24;566679598714.64;"2023-07-28T08:00:00.000Z"
29149.0627169191;29216.3719338987;29127.853201539;29203.7648425389;11154673225.25;567756758724.54;"2023-07-28T09:00:00.000Z"
29212.9339918331;29228.6361470027;29186.4708155915;29206.9976690227;11164658394.17;567822354266.75;"2023-07-28T11:00:00.000Z"
29205.512218686;29304.280504857;29204.9220803205;29304.1322428723;11238560374.56;569714089189.89;"2023-07-28T12:00:00.000Z"
29300.8190648848;29304.6868510926;29256.8622383732;29286.36171872;11223572929.21;569368604877.37;"2023-07-28T13:00:00.000Z"
29286.3518787503;29484.3483805343;29286.3518787503;29470.4897150027;11664970979.83;572950879440.11;"2023-07-28T14:00:00.000Z"
29478.1946953622;29521.5143305549;29373.8846771074;29377.9504000817;11800957959.89;571151775238.6;"2023-07-28T15:00:00.000Z"
29388.5529992908;29392.7471614386;29339.8281742776;29359.2606688574;11823328383.27;570790268238.15;"2023-07-28T16:00:00.000Z"
